make,model,year,miles,exterior-color,interior-color,accidents-reported,num-of-owners,price
Mercedes-Benz,GLC,2022,12483,White,Black,0,1,35136
Nissan,Maxima,2017,90382,White,Black,0,1,18998
Nissan,Altima,2016,84634,White,Black,1,2,14998
Hyundai,Elantra,2013,113669,White,Beige,0,1,11599
Chevrolet,Malibu,2022,28464,White,Black,0,1,17991
Audi,S3,2016,54042,Blue,Black,1,4,25998
Dodge,Challenger,2022,27530,Black,Black,0,1,26700
Nissan,Rogue,2021,28753,Gray,Black,0,1,21239
Nissan,Altima,2015,93969,Black,Black,1,2,12998
Toyota,Corolla,2022,51240,Gray,Unknown,0,1,18987
Toyota,Camry,2020,22440,Blue,Black,0,1,29222
Kia,Seltos,2021,34451,Gray,Black,0,1,18376
Toyota,Camry,2020,34491,Blue,Black,1,1,24998
Chevrolet,Traverse,2017,60307,Silver,Gray,0,1,18998
BMW,3 Series,2020,31684,Gray,Beige,1,1,24696
Audi,Q3,2018,34641,White,Black,0,1,23998
Toyota,Highlander,2022,49766,Silver,Black,0,1,39595
Honda,Civic,2017,79022,Red,Black,3,2,19998
Mercedes-Benz,C-Class,2021,12194,White,Beige,0,1,30258
BMW,3 Series,2018,56467,White,Black,1,2,22998
Toyota,Camry,2021,65107,Black,Black,0,1,20666
Jeep,Grand Cherokee,2018,48895,Gray,Black,2,1,22995
Volkswagen,Tiguan,2017,57467,Black,Black,0,2,17998
BMW,3 Series,2020,60921,Black,Beige,0,1,22000
Hyundai,Sonata,2015,57114,Red,Beige,1,1,9993
Jeep,Compass,2019,84793,Black,Black,1,3,17998
Toyota,RAV4,2021,24639,Black,Black,0,1,27998
Toyota,Corolla,2021,74700,White,Black,0,2,16642
Kia,Optima,2016,75067,Gray,Gray,2,2,15998
Mercedes-Benz,C-Class,2017,54673,Blue,Unknown,1,2,22998
Mercedes-Benz,A-Class,2020,16946,Black,Black,1,1,25997
Ford,F-150,2023,189,Red,Black,0,1,44700
Hyundai,Elantra,2020,28846,White,Beige,0,1,18998
Toyota,Corolla,2022,53358,Blue,Black,0,1,17888
Kia,Forte,2021,17253,White,Black,0,1,17631
Audi,allroad,2013,86955,Black,Black,1,1,15998
BMW,X3,2014,58663,Gray,Black,0,1,18998
Nissan,Pathfinder,2019,61819,Silver,Black,0,3,17988
Mercedes-Benz,C-Class,2019,32753,White,Black,0,2,32446
Lexus,NX,2022,14516,White,Red,0,1,42991
Mazda,Mazda3,2018,67973,Red,Black,1,2,17998
BMW,4 Series,2019,53278,White,White,0,2,28998
Mercedes-Benz,E-Class,2012,97196,Silver,Black,1,3,11850
Dodge,Charger,2016,89836,Black,Black,1,1,22998
Lexus,LS,2015,63131,White,Black,1,2,25850
BMW,3 Series,2013,77674,Black,Beige,2,4,12900
Honda,Civic,2020,36858,Blue,Black,0,1,21998
Jaguar,F-PACE,2020,26515,White,Unknown,0,1,30994
BMW,5 Series,2020,12563,White,Black,0,1,30996
Dodge,Charger,2019,42531,White,Black,0,1,18700
Honda,Civic,2022,17593,Black,Black,0,1,27419
Volkswagen,Atlas,2021,17081,Gray,Black,0,1,29089
GMC,Canyon,2016,81653,Silver,Black,0,2,24998
Jeep,Wrangler,2020,41453,Silver,Black,0,1,29499
Honda,Civic,2013,99911,Gray,Black,2,2,10987
Dodge,Grand Caravan,2019,89118,Gray,Black,0,2,12650
Porsche,Macan,2021,35286,Black,Black,0,1,48998
Toyota,RAV4,2021,65810,Blue,Unknown,0,1,22981
BMW,X3,2020,25170,Black,Black,0,1,27888
Mercedes-Benz,C-Class,2021,27643,White,Black,0,1,30806
BMW,X1,2018,52323,Black,Black,0,1,21998
Mercedes-Benz,GLC,2020,44407,Black,Black,0,1,25995
Volkswagen,Jetta,2019,39057,Black,Gray,0,1,15190
Subaru,Outback,2023,4001,Black,Beige,0,1,31989
Chevrolet,Silverado 1500,2021,23211,Silver,Black,0,1,35498
Kia,Forte,2023,1292,Black,Black,0,1,23998
Volkswagen,CC,2015,65361,Silver,Black,0,3,11500
Hyundai,Kona,2021,13995,White,Gray,0,3,16298
Kia,K5,2022,40143,White,Black,0,1,17500
Jeep,Wrangler,2020,41074,Silver,Black,0,1,29499
Nissan,Frontier,2022,21865,Gray,Black,0,1,28988
Land,Rover Range Rover Sport,2016,64238,Black,Black,0,1,25888
Volkswagen,Tiguan,2020,52955,Silver,Black,0,1,20998
Subaru,WRX,2018,12876,White,Black,0,1,28598
Nissan,Sentra,2017,40583,Red,Black,0,2,15998
Hyundai,Accent,2017,89257,Blue,Gray,1,3,7999
Nissan,Rogue,2016,40259,Gray,Black,1,2,17998
BMW,X5,2021,38529,Black,Black,0,1,37986
Toyota,Prius Prime,2021,21005,Silver,Black,0,1,27715
Subaru,Forester,2021,37997,White,Brown,0,1,26449
Mercedes-Benz,GLB,2023,3837,Gray,Gray,0,1,41886
Toyota,Camry,2014,90348,White,Gray,0,1,15998
Buick,Encore,2019,26251,Red,Black,0,1,18798
Kia,K5,2021,11972,Gray,Black,0,1,23766
Volvo,XC90,2021,30632,Gray,Beige,0,1,45787
Mercedes-Benz,C-Class,2020,28001,Silver,Gray,0,2,27680
Mercedes-Benz,GLA,2020,26763,White,Beige,0,1,22591
Ford,Mustang,2021,22166,Black,Black,0,2,26998
Dodge,Challenger,2021,25643,White,Black,0,1,21959
Honda,Civic,2020,12070,Red,Black,0,1,21688
Honda,Accord,2018,19668,Gray,Black,0,1,23998
Honda,CR-V,2020,25927,Black,Black,0,1,24998
Ford,F-150,2010,269638,White,Black,0,7,6666
Subaru,Outback,2020,15118,Silver,Gray,0,1,26949
Jeep,Wrangler,2021,69341,White,Black,0,1,27000
Acura,MDX,2013,91230,Blue,Gray,1,1,16998
Ford,Fusion,2019,20687,White,Black,0,1,22998
Cadillac,XT5,2018,86034,Black,Black,0,1,21998
Nissan,Sentra,2020,28711,Silver,Black,1,1,19998
Jeep,Cherokee,2021,10350,Gray,Black,0,1,24222
Toyota,Highlander,2013,74780,Gray,Gray,0,2,20998
Lexus,RX,2021,24526,Black,Black,0,1,36794
Lexus,NX,2023,2880,White,Black,0,1,46998
Subaru,Crosstrek,2021,20653,Red,Black,3,1,25299
Ram,1500 Classic,2020,38374,Blue,Black,0,1,26998
Subaru,Outback,2020,28693,Black,Gray,0,1,23889
Lexus,ES,2017,138015,Unknown,Unknown,1,2,13999
BMW,X5,2017,38477,Gray,Black,1,2,28998
Jeep,Compass,2020,40839,White,Black,1,2,16819
Mazda,CX-5,2022,10225,Gray,Black,0,2,29998
Honda,Civic,2021,25387,Silver,Gray,0,1,19649
Nissan,Sentra,2022,22045,Black,Black,0,1,17799
Nissan,Altima,2020,45891,Gray,Black,0,2,17998
Porsche,Macan,2020,18629,White,Black,0,1,39998
Honda,HR-V,2022,33778,Black,Black,0,1,20200
Lexus,ES,2019,18131,Black,Black,2,1,30369
Chevrolet,Camaro,2022,33204,Black,Gray,0,1,23900
Mercedes-Benz,CLA,2021,26118,White,Black,0,1,24991
Ford,Transit Passenger Wagon,2018,49057,White,Black,0,2,37997
Mercedes-Benz,E-Class,2020,4339,White,Black,0,1,39460
Volkswagen,Passat,2021,63535,White,Black,0,1,17987
Mercedes-Benz,C-Class,2020,29189,White,Beige,0,2,28946
BMW,5 Series,2023,14651,White,Black,0,1,44998
Honda,Accord,2021,26514,Gray,Black,1,1,28994
Ford,Edge,2014,90710,Red,Unknown,0,2,11295
Mercedes-Benz,C-Class,2020,25286,Blue,Beige,0,1,26991
Mercedes-Benz,GLA,2021,37490,Black,Black,0,1,28757
INFINITI,Q50,2019,51091,White,Gray,0,1,21333
Audi,A4,2018,50012,Black,Black,1,2,23222
Nissan,Kicks,2021,56206,Gray,Black,0,1,16199
Alfa,Romeo Giulia,2022,47,White,Black,0,1,28670
Honda,Civic,2022,22376,Black,Black,0,1,28067
Toyota,Corolla,2021,27730,White,Black,0,1,20194
Subaru,Outback,2021,24585,Black,Beige,0,1,28998
Toyota,C-HR,2021,26270,Gray,Black,0,1,23333
BMW,X3,2015,48155,White,Unknown,0,5,19998
Acura,RDX,2018,29848,Black,Black,1,3,24998
Nissan,Versa,2020,23906,Gray,Black,0,1,16998
Toyota,Camry,2021,35679,Gray,Black,0,1,22007
Land,Rover Range Rover Evoque,2020,29921,Black,Black,0,2,30989
Honda,Accord,2020,25894,White,Beige,1,1,22598
Toyota,Highlander,2022,214,Blue,Black,0,1,39333
Hyundai,Tucson,2018,93594,Gray,Black,0,1,16998
Subaru,Forester,2017,84165,Red,Gray,0,1,16500
Mercedes-Benz,C-Class,2019,16529,Black,Black,1,1,28998
Subaru,Forester,2021,52224,Black,Black,0,1,24099
Dodge,Challenger,2018,49734,White,Black,0,2,22998
Mercedes-Benz,E-Class,2021,13384,White,White,0,1,40745
Land,Rover Discovery,2017,55590,Gray,Black,1,2,21995
Ford,Edge,2013,98885,White,Gray,0,1,9500
BMW,X5,2022,21808,Gray,Black,0,1,46998
Mercedes-Benz,GLA,2019,34972,Black,Black,0,2,22142
Jeep,Wrangler,2019,67771,White,Black,0,2,25988
Toyota,RAV4,2022,44258,Silver,Unknown,0,1,24788
Jaguar,F-PACE,2020,42668,Black,Black,0,1,26700
Toyota,Camry,2012,96502,Red,Gray,2,4,14998
Volkswagen,Beetle,2013,87335,White,Black,0,1,9990
Honda,Pilot,2017,42051,Silver,Black,0,1,29998
Chrysler,Pacifica,2020,64659,White,Black,0,1,25998
Toyota,RAV4,2022,77425,White,Black,0,1,24898
Toyota,Yaris iA,2017,72367,Blue,Black,0,3,10850
Land,Rover Range Rover Velar,2018,33452,White,Black,1,2,35998
Mazda,CX-30,2022,9629,Gray,Black,0,2,27998
Honda,Accord,2016,95261,Black,Black,2,2,17998
Mercedes-Benz,C-Class,2021,30045,Silver,Black,0,1,29888
Ford,Transit Passenger Wagon,2019,47789,White,Gray,0,1,49995
Ford,Explorer,2018,47760,White,Black,0,2,22333
Mercedes-Benz,GLA,2021,14653,Black,Black,0,3,24999
INFINITI,Q60,2014,77173,White,Gray,0,3,17998
Volkswagen,Beetle,2013,96672,Black,Black,2,3,10927
BMW,3 Series,2011,127089,Silver,Black,1,3,7995
Toyota,Tacoma,2021,21044,Black,Gray,0,1,33998
Chevrolet,Silverado 1500,2014,133384,White,Unknown,0,1,16650
Toyota,Highlander,2021,64785,Gray,Black,0,1,29469
Dodge,Challenger,2019,64587,Gray,Black,1,1,21449
Toyota,Corolla,2021,12170,Silver,Black,1,1,20442
Toyota,Camry,2015,101711,Silver,Black,1,2,15998
Mercedes-Benz,E-Class,2019,41075,Black,Black,1,1,26991
Toyota,Corolla,2021,24212,White,Black,0,1,20394
Volvo,XC90,2021,17269,Black,Black,0,1,48991
Jeep,Gladiator,2021,26311,Gray,Black,0,1,38987
Mazda,CX-5,2020,42700,Red,Beige,0,1,23998
Toyota,Corolla,2015,30778,Black,Black,1,2,14790
BMW,3 Series,2017,72071,Black,Black,0,2,17998
Land,Rover Discovery,2020,62802,Black,Unknown,0,1,24000
Mercedes-Benz,C-Class,2023,10109,Silver,Black,0,1,39776
Subaru,Outback,2021,14618,Black,Gray,0,1,28097
Toyota,Corolla,2021,62665,Black,Black,0,1,17000
Volkswagen,Tiguan,2020,46797,Red,Black,0,1,20998
Honda,Accord,2018,34889,Blue,Black,0,2,24400
Jaguar,XF,2018,38894,Gray,Beige,0,3,22444
BMW,X5,2020,33059,White,Black,0,1,37999
Mercedes-Benz,GLE,2021,33257,Silver,Beige,0,1,39591
Mercedes-Benz,GLB,2023,3518,White,Beige,0,1,43139
Kia,Soul,2022,33047,White,Black,0,1,16988
Chevrolet,Silverado 1500,2018,50079,White,Black,0,4,24777
Toyota,Sienna,2020,10093,Silver,Black,1,1,35666
Mercedes-Benz,C-Class,2018,55367,White,Black,0,2,24166
Chevrolet,Malibu,2022,41386,Silver,Black,1,1,19998
Volkswagen,Tiguan,2021,28914,White,Black,0,1,18993
Ford,Explorer,2022,28520,White,Black,0,1,26800
Nissan,Versa,2021,62103,Blue,Gray,0,1,15641
Land,Rover Range Rover,2011,109040,Gray,Black,0,3,13995
Mercedes-Benz,E-Class,2021,15900,Red,Beige,0,1,36591
Ford,Explorer,2020,44609,Black,Black,1,2,24595
Volkswagen,Jetta,2019,33822,Black,Black,0,1,15444
Toyota,Highlander,2021,16775,Red,Black,0,1,40222
Toyota,4Runner,2021,62820,Red,Black,0,1,27600
Subaru,Forester,2021,12548,White,Brown,0,1,28699
Mercedes-Benz,CLA,2023,9431,White,Black,0,1,40018
Toyota,Tundra,2021,20874,Green,Black,0,1,41394
Audi,Q5,2023,4888,Gray,Black,0,1,44672
BMW,3 Series,2023,3271,Black,Black,0,1,45222
Mercedes-Benz,GLC,2021,37321,White,Black,1,1,31329
Subaru,Crosstrek,2020,34869,White,Black,0,1,24995
Nissan,Rogue,2021,59839,White,Black,0,2,19988
Toyota,Corolla,2011,64526,Gray,Gray,2,1,11420
Subaru,Outback,2023,5609,White,Gray,0,1,35479
Hyundai,Sonata,2015,122881,White,Black,0,2,10495
Mercedes-Benz,GLB,2020,18786,White,Beige,0,1,29440
Honda,Civic,2020,8181,White,Unknown,0,1,19995
Jeep,Wrangler,2018,27646,Red,Black,1,2,26260
Toyota,Camry,2022,27681,Silver,Black,0,1,20499
Mercedes-Benz,E-Class,2022,5873,White,Black,0,1,43887
Toyota,RAV4,2022,31666,Gray,Unknown,0,1,24988
Honda,Passport,2022,10301,White,Black,0,1,34649
BMW,3 Series,2007,97688,Silver,Gray,1,2,7995
BMW,7 Series,2016,78768,Gray,Brown,1,2,21999
BMW,3 Series,2020,25727,Black,Black,1,1,26998
Subaru,Outback,2022,31748,White,Gray,0,1,25499
Volkswagen,Tiguan,2020,30533,Gray,Black,0,1,18529
Chevrolet,Colorado,2021,30455,Black,Black,1,1,23333
Toyota,Camry,2022,29934,Black,Black,0,1,29998
Mercedes-Benz,E-Class,2022,9842,White,Black,0,1,44774
Subaru,Outback,2020,40394,Black,Gray,0,1,26828
Porsche,Macan,2020,39689,Blue,Black,1,1,36998
Jeep,Grand Cherokee,2015,82310,Gray,Black,0,1,19998
Ram,1500,2021,107431,Blue,Brown,1,1,21999
Audi,Q3,2021,62112,White,Black,0,1,21699
Cadillac,XT6,2021,28000,Black,Black,0,1,30260
